დასახელება,მახასიათებლები,ფასი ლარებში-დოლარებში
იყიდება 2009 წლიანი Kia Rio   რუსთავში,"
 162 კმ
 მექანიკა
 1.4 ბენზინი
 მარცხენა
","
 3 150
9 000


₾

$"
იყიდება 2015 წლიანი Mercedes-Benz GLA 250   რუსთავში,"
 86 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 17 000
48 500


₾

$"
იყიდება 2014 წლიანი Toyota Highlander   რუსთავში,"
 78 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 22 300
63 900


₾

$"
იყიდება 2019 წლიანი Toyota Highlander   რუსთავში,"
 62 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 30 500
87 100


₾

$"
იყიდება 2017 წლიანი Hyundai Sonata   რუსთავში,"
 184 კმ
 ავტომატიკა
 2.4 ბენზინი
 მარცხენა
","
 8 940
25 600


₾

$"
იყიდება 2007 წლიანი Opel Astra   რუსთავში,"
 164 კმ
 მექანიკა
 2.4 ბენზინი
 მარცხენა
","
 4 060
11 600


₾

$"
იყიდება 2009 წლიანი Opel Astra   რუსთავში,"
 2000 კმ
 მექანიკა
 1.7 ბენზინი
 მარცხენა
","
 3 050
8 710


₾

$"
იყიდება 2004 წლიანი Opel Meriva   რუსთავში,"
 190000 კმ
 მექანიკა
 2.6 ბენზინი
 მარცხენა
","
 2 340
6 680


₾

$"
იყიდება 2011 წლიანი Volkswagen Jetta   რუსთავში,"
 179 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 5 580
16 000


₾

$"
იყიდება 2017 წლიანი Kia Optima   რუსთავში,"
 224 კმ
 ავტომატიკა
 1.6 ბენზინი
 მარცხენა
","
 10 200
29 000


₾

$"
იყიდება 2018 წლიანი Mercedes-Benz GL 350   რუსთავში,"
 344000 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 39 300
112 000


₾

$"
იყიდება 2008 წლიანი Toyota Highlander   რუსთავში,"
 229000 კმ
 ავტომატიკა
 3.3 ჰიბრიდი
 მარცხენა
","
 9 640
27 600


₾

$"
იყიდება 2016 წლიანი Chevrolet Malibu   რუსთავში,"
 48 კმ
 ავტომატიკა
 1.5 ბენზინი
 მარცხენა
","
 7 820
22 400


₾

$"
იყიდება 2014 წლიანი Buick Regal   რუსთავში,"
 200 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 7 820
22 400


₾

$"
იყიდება 2013 წლიანი Nissan Note   რუსთავში,"
 200 კმ
 ავტომატიკა
 1.2 ბენზინი
 მარცხენა
","
 4 870
13 900


₾

$"
იყიდება 2016 წლიანი Ford Fusion   რუსთავში,"
 161600 კმ
 ავტომატიკა
 2.0 ჰიბრიდი
 მარცხენა
","
 10 200
29 000


₾

$"
იყიდება 2012 წლიანი BMW 328   რუსთავში,"
 104000 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 12 200
34 800


₾

$"
იყიდება 2013 წლიანი Toyota Camry   რუსთავში,"
 195 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 12 200
34 800


₾

$"
იყიდება 2008 წლიანი Audi A7   რუსთავში,"
 163 კმ
 ავტომატიკა
 3.6 ბენზინი
 მარცხენა
","
 7 620
21 800


₾

$"
იყიდება 2015 წლიანი Volkswagen Passat   რუსთავში,"
 160 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 9 140
26 100


₾

$"
იყიდება 2008 წლიანი Volkswagen Passat   რუსთავში,"
 162000 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 11 700
33 400


₾

$"
იყიდება 2004 წლიანი Infiniti EX35   თბილისში,"
 154000 კმ
 ტიპტრონიკი
 3.5 ბენზინი
 მარცხენა
","
 699
2 000


₾

$"
იყიდება 2004 წლიანი Infiniti EX35   გზაში საქ-სკენ,"
 157200 კმ
 ტიპტრონიკი
 3.5 ბენზინი
 მარცხენა
","
 700
2 000


₾

$"
იყიდება 2008 წლიანი Subaru Tribeca   ბათუმში,"
 181000 კმ
 ტიპტრონიკი
 3.6 თხევადი გაზი
 მარცხენა
","
 6 500
18 600


₾

$"
იყიდება 2009 წლიანი Toyota Prius   თბილისში,"
 235 კმ
 ავტომატიკა
 1.8 ჰიბრიდი
 მარცხენა
","
 5 380
15 400


₾

$"
იყიდება 2003 წლიანი Mercedes-Benz CLK 270   თბილისში,"
 215 კმ
 მექანიკა
 2.7 დიზელი
 მარცხენა
","
 4 260
12 200


₾

$"
იყიდება 2021 წლიანი Tesla Model Y   თბილისში,"
 21 კმ
 ავტომატიკა
 0 ელექტრო
 მარცხენა
","
 66 000
189 000


₾

$"
